html-entity,decimal-entity,description
quot,34,quotation mark
amp,38,ampersand
lt,60,less-than sign
gt,62,greater-than sign
OElig,338,latin capital ligature OE
oelig,339,latin small ligature oe
Scaron,352,latin capital letter S with caron
scaron,353,latin small letter s with caron
Yuml,376,latin capital letter Y with diaeresis
circ,710,modifier letter circumflex accent
tilde,732,small tilde
ensp,8194,en space
emsp,8195,em space
thinsp,8201,thin space
zwnj,8204,zero width non-joiner
zwj,8205,zero width joiner
lrm,8206,left-to-right mark
rlm,8207,right-to-left mark
ndash,8211,en dash
mdash,8212,em dash
lsquo,8216,left single quotation mark
rsquo,8217,right single quotation mark
sbquo,8218,single low-9 quotation mark
ldquo,8220,left double quotation mark
rdquo,8221,right double quotation mark
bdquo,8222,double low-9 quotation mark
dagger,8224,dagger
Dagger,8225,double dagger
permil,8240,per mille sign
lsaquo,8249,single left-pointing angle quotation mark
rsaquo,8250,single right-pointing angle quotation mark
euro,8364,euro sign
